Orig;dest;flow
RMGV;RMGV;0
desconhecido - BA;RMGV;6
desconhecido - CE;RMGV;1
desconhecido - MA;RMGV;1
desconhecido - MG;RMGV;5
desconhecido - PE;RMGV;1
desconhecido - PI;RMGV;1
desconhecido - PR;RMGV;2
  Santa Luzia do norte;RMGV;1
 Almadino;RMGV;1
 Aurelino Leal;RMGV;1
 Camacan;RMGV;1
 Canavieiras;RMGV;2
 Caravelas;RMGV;4
 Carlos Chagas;RMGV;1
 Eunapolis;RMGV;1
 Guaratinga;RMGV;1
 Ibicarai;RMGV;1
 Ilheus;RMGV;4
 Itabuna;RMGV;2
 Itajuipe;RMGV;2
 Itamaraju;RMGV;2
 Itanhem;RMGV;1
 Itapemirim;RMGV;1
 Itubera;RMGV;1
 Medeiros Neto;RMGV;1
 Mucuri;RMGV;1
 Nova Itarana;RMGV;1
 Nova Vicosa;RMGV;2
 Orucu;RMGV;1
 Paulo Afonso;RMGV;1
 Porto Seguro;RMGV;1
 Potiragua;RMGV;1
 Prado;RMGV;2
 Salvador;RMGV;2
 Teixeira de Freitas;RMGV;1
 Una;RMGV;1
 Urucuba;RMGV;1
 Valencia;RMGV;1
 Vitoria da Conquista;RMGV;1
 Acopiara;RMGV;1
 Goiania;RMGV;1
 Araujos;RMGV;1
 Imperatriz;RMGV;1
 Sao Luis;RMGV;1
   Aimores;RMGV;1
   Belo Horizonte;RMGV;4
   Bertopolis;RMGV;1
   Cachoeira da Prata;RMGV;1
   Caete;RMGV;1
   Carangola;RMGV;1
   Caratinga;RMGV;2
   Conceicao Capim;RMGV;1
   Conselheiro Pena;RMGV;2
   Governador Valadares;RMGV;6
   Iapu;RMGV;1
   Ipatinga;RMGV;1
   Itabira;RMGV;1
   Itabirim de Mantena;RMGV;1
   Itanhomi;RMGV;2
   Itauna;RMGV;1
   Januaria;RMGV;1
   Joao Monlevade;RMGV;1
   Juaima;RMGV;1
   Ladainha;RMGV;1
   Lajinhas;RMGV;1
   Mantena;RMGV;5
   Mantenopolis;RMGV;1
   Matipo;RMGV;1
   Miradouro;RMGV;1
   Mirai;RMGV;1
   Mutum;RMGV;1
   Nanuque;RMGV;2
   Nova Era;RMGV;1
   Nova Lima;RMGV;1
   Ouro Branco;RMGV;1
   Pocrane;RMGV;1
   Resplendor;RMGV;3
